Estado;Código;Título;Descrição;Notas de aplicação;Exemplos NA;Notas de exclusão;Diplomas jurídico-administrativos REF;Tipo de processo;Processo transversal (S/N);Dono do processo;Participante no processo;Tipo de intervenção do participante;Código do processo relacionado;Título do processo relacionado;Tipo de relação entre processos;Dimensão qualitativa do processo;Uniformização do processo;Prazo de conservação administrativa;Nota ao PCA;Justificação PCA;Forma de contagem do PCA;Destino final;Justificação DF;Notas;;;;;;;;;;

;650.10.205;Concessão de rendimento social de inserção;"Atribuição de prestação pecuniária mensal de proteção social criada para apoiar as pessoas ou famílias que se encontrem em situação de grave carência económica e em risco de exclusão social.
Inicia com o processamento do pedido e termina com a comunicação do montante a atribuir.
Inclui análise da situação mediante os comprovativos apresentados, celebração de contrato de inserção para ajuda à integração social e profissional e decisão sobre o montante a atribuir.";;;O fluxo financeiro deve ser considerado em 350.30.001 – Cobrança de receitas e pagamento de despesas#;"DL 13/2013#
DL 133/2012#
Portaria 257/2012#";PE;N;ISS#;;;"150.10.600#
150.20.300#
150.20.404#
150.40.001#
150.40.500#
300.30.008#
350.30.001#
400.10.011#
500.10.301#
650.10.001#
650.10.008#
650.10.009#
650.10.100#
650.20.001#
650.20.302#";"Avaliação de políticas e instrumentos de operacionalização#
Avaliação de atividades#
Prestação de contas#
Realização de operações estatísticas oficiais#
Recolha e tratamento de dados estatísticos de apoio à gestão#
Registo de documentos e informação#
Cobrança de receitas e pagamento de despesas#
Registo no sistema da Segurança Social#
Realização de fiscalização#
Concessão de pensões de invalidez#
Concessão de subsídios para assistência a filho com deficiência ou doença crónica#
Concessão de subsídios de desemprego#
Concessão de auxílios económicos a alunos ou formandos#
Sinalização e encaminhamento em situações de vulnerabilidade#
Apoio à integração e inserção profissional#";"Síntese (sintetizado)#
Síntese (sintetizado)#
Síntese (sintetizado)#
Síntese (sintetizado)#
Síntese (síntetizado)#
Síntese (síntetizado)#
Sucessão (antecessor)#
Síntese (síntetizado)#
Suplemento para#
Cruzada#
Cruzada#
Cruzada#
Cruzada#
Cruzada#
Sucessão (sucessor)#";Elevada;S;5;;"#Critério legal:
Conjugação:
[Lei 4/2007], Bases gerais do sistema de segurança social, art.º 69º - Prescrição do direito às prestações, e art.º 80º - Incumprimento das obrigações legais; 
[DL 433/82], art.º 27º - Prazo prescricional do procedimento contraordenacional.
O prazo contempla quer a prescrição do direito à prestação pelo beneficiário, quer a perda de capacidade da Administração para acionar o pagamento de contraordenação por incumprimento das obrigações legais do beneficiário, por via da prescrição contraordenacional. 
#Critério de utilidade administrativa:
Prazo decorrente da necessidade de consulta deste PN para apuramento de responsabilidade em sede do PN 500.10.301 - Realização de fiscalização.";Data de cessação da vigência;E;"#Critério de densidade informacional:
Informação sintetizada complementarmente em
PN 150.20.404 - Prestação de contas;
PN 150.40.001 - Realização de operações estatísticas oficiais;
PN 150.40.500 - Recolha e tratamento de dados estatísticos de apoio à gestão;
PN 300.30.008 - Registo de documentos e informação;
PN 400.10.011 - Registo no sistema da Segurança Social. 
A aplicação de regras para a determinação da prestação a atribuir encontra-se sujeita a condições formais rigorosas de controlo acentuado, sendo essas regras preservadas em 100.10.";;;;;;;;;;;

;650.10.206;Concessão de subsídios sociais por adoção;"Atribuição de prestação pecuniária mensal aos candidatos a adotantes, que não estejam a contribuir para a Segurança Social ou não tenham o período de contribuições necessário para acesso ao subsídio por adoção e estejam em situação de carência económica.
Inicia com o processamento do pedido e termina com a comunicação do montante a atribuir.
Inclui análise da situação mediante os comprovativos apresentados e decisão sobre o montante a atribuir.";;;O fluxo financeiro deve ser considerado em 350.30.001 – Cobrança de receitas e pagamento de despesas#;"Lei 7/2009#
DL 133/2012#
DL 70/2010#
DL 91/2009#";PE;N;ISS#;;;"150.20.404#
150.40.001#
150.40.500#
300.30.008#
400.10.011#
500.10.301#";"Prestação de contas#
Realização de operações estatísticas oficiais#
Recolha e tratamento de dados estatísticos de apoio à gestão#
Registo de documentos e informação#
Registo no sistema da Segurança Social#
Realização de fiscalização#";"Sintese(sintetiza)#
Sintese(sintetiza)#
Sintese(sintetiza)#
Sintese(sintetiza)#
Sintese(sintetiza)#
Suplemento para#";Reduzida;S;5;;"#Critério legal:
Conjugação:
[Lei 4/2007], Bases gerais do sistema de segurança social, art.º 69º - Prescrição do direito às prestações, e art.º 80º - Incumprimento das obrigações legais; 
[DL 433/82], art.º 27º - Prazo prescricional do procedimento contraordenacional.
O prazo contempla quer a prescrição do direito à prestação pelo beneficiário, quer a perda de capacidade da Administração para acionar o pagamento de contraordenação por incumprimento das obrigações legais do beneficiário, por via da prescrição contraordenacional.
#Critério de utilidade administrativa:
Prazo decorrente da necessidade de consulta deste PN para apuramento de responsabilidade em sede do PN 500.10.301 - Realização de fiscalização.";Data de cessação da vigência;E;"#Critério de densidade informacional:
Informação sintetizada complementarmente em
PN 150.20.404 - Prestação de contas;
PN 150.40.001 - Realização de operações estatísticas oficiais;
PN 150.40.500 - Recolha e tratamento de dados estatísticos de apoio à gestão;
PN 300.30.008 - Registo de documentos e informação;
PN 400.10.011 - Registo no sistema da Segurança Social. 
A aplicação de regras para a determinação da prestação a atribuir encontra-se sujeita a condições formais rigorosas de controlo acentuado, sendo essas regras preservadas em 100.10.";;;;;;;;;;;

;650.10.207;Concessão de subsídios sociais de desemprego;"Atribuição de prestação pecuniária mensal ao beneficiário desempregado, para compensar a falta de remuneração motivada pela perda involuntária de emprego, quando este não reúna as condições para receber o subsídio de desemprego ou já tenha recebido a totalidade do subsídio de desemprego a que tinha direito.
Inicia com o processamento do pedido e termina com a comunicação do montante a atribuir.
Inclui análise da situação mediante os comprovativos apresentados e decisão sobre o montante a atribuir.";;;O fluxo financeiro deve ser considerado em 350.30.001 – Cobrança de receitas e pagamento de despesas#;"Portaria 8-B/2007#
Lei 53-B/2006#";PE;N;ISS#;;;"150.20.404#
150.40.001#
150.40.500#
300.30.008#
400.10.011#
500.10.301#";"Prestação de contas#
Realização de operações estatísticas oficiais#
Recolha e tratamento de dados estatísticos de apoio à gestão#
Registo de documentos e informação#
Registo no sistema da Segurança Social#
Realização de fiscalização#";"Sintese(sintetiza)#
Sintese(sintetiza)#
Sintese(sintetiza)#
Sintese(sintetiza)#
Sintese(sintetiza)#
Suplemento para#";Média ;S;5;;"#Critério legal:
Conjugação:
[Lei 4/2007], Bases gerais do sistema de segurança social, art.º 69º - Prescrição do direito às prestações, e art.º 80º - Incumprimento das obrigações legais; 
[DL 433/82], art.º 27º - Prazo prescricional do procedimento contraordenacional.
O prazo contempla quer a prescrição do direito à prestação pelo beneficiário, quer a perda de capacidade da Administração para acionar o pagamento de contraordenação por incumprimento das obrigações legais do beneficiário, por via da prescrição contraordenacional.
#Critério de utilidade administrativa:
Prazo decorrente da necessidade de consulta deste PN para apuramento de responsabilidade em sede do PN 500.10.301 - Realização de fiscalização.";Data de cessação da vigência;E;"#Critério de densidade informacional:
Informação sintetizada complementarmente em
PN 150.20.404 - Prestação de contas;
PN 150.40.001 - Realização de operações estatísticas oficiais;
PN 150.40.500 - Recolha e tratamento de dados estatísticos de apoio à gestão;
PN 300.30.008 - Registo de documentos e informação;
PN 400.10.011 - Registo no sistema da Segurança Social.
A aplicação de regras para a determinação da prestação a atribuir encontra-se sujeita a condições formais rigorosas de controlo acentuado, sendo essas regras preservadas em 100.10.";;;;;;;;;;;

;650.10.208;Concessão de subsídios sociais por interrupção de gravidez;"Atribuição de prestação pecuniária mensal, em situação de carência económica, em caso de interrupção da gravidez medicamente certificada, que exerça atividade profissional e que se encontrem abrangidas por regime de proteção social obrigatório ou pelo regime do seguro social voluntário, cujo esquema de proteção social integre a eventualidade de maternidade, paternidade e adoção, sem direito ao subsídio por interrupção da gravidez.
Inicia com o processamento do pedido e termina com a comunicação do montante a atribuir.
Inclui análise da situação mediante os comprovativos apresentados e decisão sobre o montante a atribuir.";;;O fluxo financeiro deve ser considerado em 350.30.001 – Cobrança de receitas e pagamento de despesas#;DL 133/2012#;PE;N;ISS#;;;"150.20.404#
150.40.001#
150.40.500#
300.30.008#
400.10.011#
500.10.301#";"Prestação de contas#
Realização de operações estatísticas oficiais#
Recolha e tratamento de dados estatísticos de apoio à gestão#
Registo de documentos e informação#
Registo no sistema da Segurança Social#
Realização de fiscalização#";"Sintese(sintetiza)#
Sintese(sintetiza)#
Sintese(sintetiza)#
Sintese(sintetiza)#
Sintese(sintetiza)#
Suplemento para#";Média;S;5;;"#Critério legal:
Conjugação:
[Lei 4/2007], Bases gerais do sistema de segurança social, art.º 69º - Prescrição do direito às prestações, e art.º 80º - Incumprimento das obrigações legais;
[DL 433/82], art.º 27º - Prazo prescricional do procedimento contraordenacional.
O prazo contempla quer a prescrição do direito à prestação pelo beneficiário, quer a perda de capacidade da Administração para acionar o pagamento de contraordenação por incumprimento das obrigações legais do beneficiário, por via da prescrição contraordenacional.
#Critério de utilidade administrativa:
Prazo decorrente da necessidade de consulta deste PN para apuramento de responsabilidade em sede do PN 500.10.301 - Realização de fiscalização.";Data de cessação da vigência;E;"#Critério de densidade informacional:
Informação sintetizada complementarmente em
PN 150.20.404 - Prestação de contas;
PN 150.40.001 - Realização de operações estatísticas oficiais;
PN 150.40.500 - Recolha e tratamento de dados estatísticos de apoio à gestão;
PN 300.30.008 - Registo de documentos e informação;
PN 400.10.011 - Registo no sistema da Segurança Social.
A aplicação de regras para a determinação da prestação a atribuir encontra-se sujeita a condições formais rigorosas de controlo acentuado, sendo essas regras preservadas em 100.10.";;;;;;;;;;;

;650.10.209;Concessão de subsídios sociais por parentalidade;"Atribuição de prestação pecuniária mensal, ao pai e/ou à mãe, que não trabalhem e sem contribuições na Segurança Social ou tendo não reúnem as condições para terem direito ao subsídio parental, por nascimento de filho.
Inicia com o processamento do pedido do trabalhador e termina com a comunicação do montante a atribuir.
Inclui análise da situação mediante os comprovativos apresentados e decisão sobre o montante a atribuir.";;;O fluxo financeiro deve ser considerado em 350.30.001 – Cobrança de receitas e pagamento de despesas#;"Lei 120/2015#
DL 133/2012#
DL 70/2010#
DL 91/2009#";PE;N;ISS#;;;"150.20.404#
150.40.001#
150.40.500#
300.30.008#
400.10.011#
500.10.301#";"Prestação de contas#
Realização de operações estatísticas oficiais#
Recolha e tratamento de dados estatísticos de apoio à gestão#
Registo de documentos e informação#
Registo no sistema da Segurança Social#
Realização de fiscalização#";"Sintese(sintetiza)#
Sintese(sintetiza)#
Sintese(sintetiza)#
Sintese(sintetiza)#
Sintese(sintetiza)#
Suplemento para#";Média ;S;5;;"#Critério legal:
Conjugação:
[Lei 4/2007], Bases gerais do sistema de segurança social, art.º 69º - Prescrição do direito às prestações, e art.º 80º - Incumprimento das obrigações legais;
[DL 433/82], art.º 27º - Prazo prescricional do procedimento contraordenacional.
O prazo contempla quer a prescrição do direito à prestação pelo beneficiário, quer a perda de capacidade da Administração para acionar o pagamento de contraordenação por incumprimento das obrigações legais do beneficiário, por via da prescrição contraordenacional.
#Critério de utilidade administrativa:
Prazo decorrente da necessidade de consulta deste PN para apuramento de responsabilidade em sede do PN 500.10.301 - Realização de fiscalização.";Data de cessação da vigência;E;"#Critério de densidade informacional:
Informação sintetizada complementarmente em
PN 150.20.404 - Prestação de contas;
PN 150.40.001 - Realização de operações estatísticas oficiais;
PN 150.40.500 - Recolha e tratamento de dados estatísticos de apoio à gestão;
PN 300.30.008 - Registo de documentos e informação;
PN 400.10.011 - Registo no sistema da Segurança Social;
A aplicação de regras para a determinação da prestação a atribuir encontra-se sujeita a condições formais rigorosas de controlo acentuado, sendo essas regras presevadas em 100.10.";;;;;;;;;;;

;650.10.210;Concessão de subsídios sociais por riscos clínicos durante a gravidez;"Atribuição de prestação pecuniária mensal durante a gravidez, com vista a substituir o rendimento de trabalho perdido em caso de risco clínico para a grávida ou para a criança, em situações em que a grávida, estando abrangida por regime de proteção social obrigatório ou pelo regime do seguro social voluntário, o esquema de proteção social não comtemple o direito ao subsídio por risco clínico durante a gravidez.
Inicia com o processamento do pedido e termina com a comunicação do montante a atribuir.
Inclui análise da situação mediante os comprovativos apresentados e decisão sobre o montante a atribuir.";;;O fluxo financeiro deve ser considerado em 350.30.001 – Cobrança de receitas e pagamento de despesas#;"Lei 120/2015#
DL 133/2012#
DL 70/2010#
DL 91/2009#";PE;N;ISS#;;;"150.20.404#
150.40.001#
150.40.500#
300.30.008#
400.10.011#
500.10.301#";"Prestação de contas#
Realização de operações estatísticas oficiais#
Recolha e tratamento de dados estatísticos de apoio à gestão#
Registo de documentos e informação#
Registo no sistema da Segurança Social#
Realização de fiscalização#";"Sintese(sintetiza)#
Sintese(sintetiza)#
Sintese(sintetiza)#
Sintese(sintetiza)#
Sintese(sintetiza)#
Suplemento para#";Elevada;S;5;;"#Critério legal:
Conjugação:
[Lei 4/2007], Bases gerais do sistema de segurança social, art.º 69º - Prescrição do direito às prestações, e art.º 80º - Incumprimento das obrigações legais; 
[DL 433/82], art.º 27º - Prazo prescricional do procedimento contraordenacional.
O prazo contempla quer a prescrição do direito à prestação pelo beneficiário, quer a perda de capacidade da Administração para acionar o pagamento de contraordenação por incumprimento das obrigações legais do beneficiário, por via da prescrição contraordenacional.
#Critério de utilidade administrativa:
Prazo decorrente da necessidade de consulta deste PN para apuramento de responsabilidade em sede do PN 500.10.301 - Realização de fiscalização.";Data de cessação da vigência;E;"#Critério de densidade informacional:
Informação sintetizada complementarmente em
PN 150.20.404 - Prestação de contas;
PN 150.40.001 - Realização de operações estatísticas oficiais;
PN 150.40.500 - Recolha e tratamento de dados estatísticos de apoio à gestão;
PN 300.30.008 - Registo de documentos e informação;
PN 400.10.011 - Registo no sistema da Segurança Social.
A aplicação de regras para a determinação da prestação a atribuir encontra-se sujeita a condições formais rigorosas de controlo acentuado, sendo essas regras preservadas em 100.10.";;;;;;;;;;;

;650.10.211;Concessão de subsídios sociais por riscos específicos;"Atribuição de uma prestação monetária mensal à trabalhadora grávida, puérpera e lactante que, na sua atividade profissional, desempenhe trabalho noturno ou se encontre exposta a riscos específicos que prejudiquem a sua segurança e saúde, desde que o empregador não lhe possa distribuir outras tarefas. A trabalhadora é abrangida por regime de proteção social obrigatório ou pelo regime do seguro social voluntário, cujo esquema de proteção social integre a eventualidade de maternidade, paternidade e adoção, sem direito ao subsídio por riscos específicos.
Inicia com o processamento do pedido e termina com a comunicação do montante a atribuir.
Inclui análise da situação mediante os comprovativos apresentados e decisão sobre o montante a atribuir.";;;O fluxo financeiro deve ser considerado em 350.30.001 – Cobrança de receitas e pagamento de despesas#;"Lei 120/2015#
DL 133/2012#
DL 70/2010#
DL 91/2009#";PE;N;ISS#;;;"150.20.404#
150.40.001#
150.40.500#
300.30.008#
400.10.011#
500.10.301#";"Prestação de contas#
Realização de operações estatísticas oficiais#
Recolha e tratamento de dados estatísticos de apoio à gestão#
Registo de documentos e informação#
Registo no sistema da Segurança Social#
Realização de fiscalização#";"Sintese(sintetiza)#
Sintese(sintetiza)#
Sintese(sintetiza)#
Sintese(sintetiza)#
Sintese(sintetiza)#
Suplemento para#";Média;S;5;;"#Critério legal:
Conjugação:
[Lei 4/2007], Bases gerais do sistema de segurança social, art.º 69º - Prescrição do direito às prestações, e art.º 80º - Incumprimento das obrigações legais; 
[DL 433/82], art.º 27º - Prazo prescricional do procedimento contraordenacional.
O prazo contempla quer a prescrição do direito à prestação pelo beneficiário, quer a perda de capacidade da Administração para acionar o pagamento de contraordenação por incumprimento das obrigações legais do beneficiário, por via da prescrição contraordenacional.
#Critério de utilidade administrativa:
Prazo decorrente da necessidade de consulta deste PN para apuramento de responsabilidade em sede do PN 500.10.301 - Realização de fiscalização.";Data de cessação da vigência;E;"#Critério de densidade informacional:
Informação sintetizada complementarmente em
PN 150.20.404 - Prestação de contas;
PN 150.40.001 - Realização de operações estatísticas oficiais;
PN 150.40.500 - Recolha e tratamento de dados estatísticos de apoio à gestão;
PN 300.30.008 - Registo de documentos e informação;
PN 400.10.011 - Registo no sistema da Segurança Social.
A aplicação de regras para a determinação da prestação a atribuir encontra-se sujeita a condições formais rigorosas de controlo acentuado, sendo essas regras preservadas em 100.10.";;;;;;;;;;;

;650.10.212;Concessão de pensões de ex-prisioneiro de guerra;"Atribuição de prestação pecuniária mensal vitalícia atribuída a cidadãos que tenham sido feitos prisioneiros ou capturados em combate no decurso da guerra nas ex-colónias e estejam em situação de carência económica.
Inicia com o processamento do pedido e termina com a comunicação do montante a atribuir.
Inclui análise das condições de atribuição, decisão sobre o cálculo, bem como aplicação de regime de redução, suspensão, transmissão e actualização da prestação. 
";Pensão de ex-prisioneiro de guerra atribuída ao próprio ou aos seus herdeiros e familiares#;;;"Lei 34/98#
DL 161/2001#";PE;S;CGA#;"FA#
SGMF#
PGR#";"Comunicar#
Comunicar#
Apreciar#";"150.20.404#
150.40.001#
150.40.500#
300.30.008#
400.10.010#";"Prestação de contas#
Realização de operações estatísticas oficiais#
Recolha e tratamento de dados estatísticos de apoio à gestão#
Registo de documentos e informação#
Registo de trabalhadores no sistema da Caixa Geral de Aposentações#";"Sintese(sintetiza)#
Sintese(sintetiza)#
Sintese(sintetiza)#
Sintese(sintetiza)#
Sintese(sintetiza)#";Média;S;5;;"#Critério legal:
[DL 498/72],art.º 68º - Prazo prescricional para exercício do direito às prestações, e art.º 111º, aplicação das disposições relativas ao processo de aposentação aos demais processos cuja resolução seja da competência da Caixa Geral de Aposentações.";Data de cessação da vigência;E;"#Critério de densidade informacional: 
Informação sintetizada complementarmente em
PN 150.20.404 - Prestação de contas
PN 150.40.001 - Realização de operações estatísticas oficiais
PN 150.40.500 - Recolha e tratamento de dados estatísticos de apoio à gestão
PN 300.30.008 - Registo de documentos e informação
PN 400.10.010 - Registo de trabalhadores no sistema da Caixa Geral de Aposentações.
A aplicação de regras para a determinação da prestação a atribuir encontra-se sujeita a condições formais rigorosas de controlo acentuado, sendo essas regras preservadas em 100.10.";;;;;;;;;;;

;650.10.213;Concessão de pensões por condecorações;"Atribuição de prestação pecuniária mensal vitalícia atribuída aos cidadãos agraciados com os galardões de valor militar e cruz de guerra, ordem  militar de torre e espada, do valor, lealdade e mérito em situação de insuficiência económica.
Inicia com o processamento do pedido e termina com a comunicação do montante a atribuir.
Inclui análise das condições de atribuição, decisão sobre o cálculo, bem como aplicação de regime de redução, suspensão, transmissão e actualização da prestação. 
";"Pensão por condecoração atribuída ao próprio  ou aos seus herdeiros e familiares#
Pensão a agraciados com a medalha de valor militar ou da cruz de guerra#
Pensão a condecorados com o grau da Ordem  militar da torre e espada, do valor, lealdade e mérito#";;;"DL 316/2002#
Lei 5/2011#";PE;N;CGA#;FA#;Comunicar#;"150.20.404#
150.40.001#
150.40.500#
300.30.008#
400.10.010#";"Prestação de contas#
Realização de operações estatísticas oficiais#
Recolha e tratamento de dados estatísticos de apoio à gestão#
Registo de documentos e informação#
Registo de trabalhadores no sistema da Caixa Geral de Aposentações#";"Sintese(sintetiza)#
Sintese(sintetiza)#
Sintese(sintetiza)#
Sintese(sintetiza)#
Sintese(sintetiza)#";Média;S;5;;"#Critério legal:
[DL 498/72],art.º 68º - Prazo prescricional para exercício do direito às prestações, e art.º 111º, aplicação das disposições relativas ao processo de aposentação aos demais processos cuja resolução seja da competência da Caixa Geral de Aposentações.";Data de cessação da vigência;E;"#Critério de densidade informacional: 
Informação sintetizada complementarmente em
PN 150.20.404 - Prestação de contas
PN 150.40.001 - Realização de operações estatísticas oficiais
PN 150.40.500 - Recolha e tratamento de dados estatísticos de apoio à gestão
PN 300.30.008 - Registo de documentos e informação
PN 400.10.010 - Registo de trabalhadores no sistema da Caixa Geral de Aposentações. 
A aplicação de regras para a determinação da prestação a atribuir encontra-se sujeita a condições formais rigorosas de controlo acentuado, sendo essas regras preservadas em 100.10.";;;;;;;;;;;

;650.10.214;Concessão de prestação social para a inclusão;"Atribuição de prestação pecuniária mensal a pessoas com deficiência, em situações de carência ou insuficiência económica, com vista a promover a sua autonomia e inclusão social. 
Inicia com o processamento do pedido e termina com a comunicação do montante a atribuir.
Inclui análise das condições de atribuição, decisão sobre o cálculo, bem como aplicação de regime de redução, suspensão, transmissão e atualização da prestação.";"Prestação social para pessoa com deficiência, residente legal em Portugal, com idade igual ou superior a 18 anos,com grau de incapacidade igual ou superior a 60% ou com grau de incapacidade igual ou superior a 80%, no caso de ser titular de pensão de invalidez#
Substitui as prestações: subsídio mensal vitalício, pensão social de invalidez e pensão de invalidez dos regimes transitórios dos trabalhadores agrícolas#";;O fluxo financeiro deve ser considerado em 350.30.001 – Cobrança de receitas e pagamento de despesas#;"Portaria 162/2018#
DL 33/2018#
Lei 114/2017#
Declaração de Retificação 39/2017#
DL 126-A/2017#";PE;N;"ISS#
AL#";;;"150.20.404#
150.40.001#
150.40.500#
300.30.008#
400.10.011#
500.10.301#";"Prestação de contas#
Realização de operações estatísticas oficiais#
Recolha e tratamento de dados estatísticos de apoio à gestão#
Registo de documentos e informação#
Registo no sistema da Segurança Social#
Realização de fiscalização#";"Sintese(sintetiza)#
Sintese(sintetiza)#
Sintese(sintetiza)#
Sintese(sintetiza)#
Sintese(sintetiza)#
Suplemento para#";Média ;S;5;;"#Critério legal:
[DL 498/72],art.º 68º - Prazo prescricional para exercício do direito às prestações, e art.º 111º, aplicação das disposições relativas ao processo de aposentação aos demais processos cuja resolução seja da competência da Caixa Geral de Aposentações.
#Critério de utilidade administrativa:
Prazo decorrente da necessidade de consulta deste PN para apuramento de responsabilidade em sede de fiscalização (500.10.301 - Realização de fiscalização).";Data de cessação da vigência;E;"#Critério de densidade informacional:
Informação sintetizada complementarmente em
PN 150.20.404 - Prestação de contas;
PN 150.40.001 - Realização de operações estatísticas oficiais;
PN 150.40.500 - Recolha e tratamento de dados estatísticos de apoio à gestão;
PN 300.30.008 - Registo de documentos e informação;
PN 400.10.011 - Registo no sistema da Segurança Social.
A aplicação de regras para a determinação da prestação a atribuir encontra-se sujeita a condições formais rigorosas de controlo acentuado, sendo essas regras preservadas em 100.10.";;;;;;;;;;;

;650.10.300;Concessão de abonos de família para crianças e jovens;"Atribuição de prestação pecuniária mensal, que visa compensar os encargos familiares com o sustento e educação de crianças e jovens.
Inicia com o processamento do pedido e termina com a comunicação do montante a atribuir.
Inclui análise da situação mediante os comprovativos apresentados e decisão sobre o montante a atribuir.";"Abono de família para crianças e jovens#
Bonificação por deficiência#
Majoração de abono para famílias com duas ou mais crianças#
Majoração de abono para famílias monoparentais#";;O fluxo financeiro deve ser considerado em 350.30.001 – Cobrança de receitas e pagamento de despesas#;"Portaria 344/2012#
DL 116/2010#";PC;S;ISS#;"AP#
INFARMED#";"Iniciar#
Iniciar#";"150.10.600#
150.20.300#
150.20.404#
150.40.001#
150.40.500#
300.30.008#
350.30.001#
400.10.011#
500.10.301#
650.10.100#";"Avaliação de políticas e instrumentos de operacionalização#
Avaliação de atividades#
Prestação de contas#
Realização de operações estatísticas oficiais#
Recolha e tratamento de dados estatísticos de apoio à gestão#
Registo de documentos e informação#
Cobrança de receitas e pagamento de despesas#
Registo no sistema da Segurança Social#
Realização de fiscalização#
Concessão de auxílios económicos a alunos ou formandos#";"Síntese (sintetizado)#
Síntese (sintetizado)#
Síntese (sintetizado)#
Síntese (sintetizado)#
Síntese (síntetizado)#
Síntese (síntetizado)#
Sucessão (antecessor)#
Síntese (síntetizado)#
Suplemento para#
Cruzada#";Média ;S;5;;"#Critério legal:
Conjugação:
[Lei 4/2007], Bases gerais do sistema de segurança social, art.º 69º - Prescrição do direito às prestações, e art.º 80º Incumprimento das obrigações legais; 
[DL 433/82], art.º 27º - Prazo prescricional do procedimento contraordenacional.
O prazo contempla quer a prescrição do direito à prestação pelo beneficiário, quer a perda de capacidade da Administração para acionar o pagamento de contraordenação por incumprimento das obrigações legais do beneficiário, por via da prescrição contraordenacional.
#Critério de utilidade administrativa:
Prazo decorrente da necessidade de consulta deste PN para apuramento de responsabilidade em sede do PN 500.10.301 - Realização de fiscalização.";Data de cessação da vigência;E;"#Critério de densidade informacional:
Informação sintetizada complementarmente em
PN 150.20.404 - Prestação de contas;
PN 150.40.001 - Realização de operações estatísticas oficiais;
PN 150.40.500 - Recolha e tratamento de dados estatísticos de apoio à gestão;
PN 300.30.008 - Registo de documentos e informação;
PN 400.10.011 - Registo no sistema da Segurança Social.
A aplicação de regras para a determinação da prestação a atribuir encontra-se sujeita a condições formais rigorosas de controlo acentuado, sendo essas regras preservadas em 100.10.";;;;;;;;;;;

;650.10.301;Concessão de abonos de família pré-natal;"Atribuição de prestação pecuniária à mulher grávida a partir da 13.ª semana de gestação, que visa incentivar a maternidade através da compensação dos encargos acrescidos durante o período de gravidez.
Inicia com o processamento do pedido e termina com a comunicação do montante a atribuir.
Inclui análise da situação mediante os comprovativos apresentados e decisão sobre o montante a atribuir.";;;O fluxo financeiro deve ser considerado em 350.30.001 – Cobrança de receitas e pagamento de despesas#;"Lei 120/2015#
DL 133/2012#
DL 70/2010#
DL 91/2009#";PE;N;"ISS#
AL#";;;"150.10.600#
150.20.300#
150.20.404#
150.40.001#
150.40.500#
300.30.008#
350.30.001#
400.10.011#
500.10.301#";"Avaliação de políticas e instrumentos de operacionalização#
Avaliação de atividades#
Prestação de contas#
Realização de operações estatísticas oficiais#
Recolha e tratamento de dados estatísticos de apoio à gestão#
Registo de documentos e informação#
Cobrança de receitas e pagamento de despesas#
Registo no sistema da Segurança Social#
Realização de fiscalização#";"Síntese (sintetizado)#
Síntese (sintetizado)#
Síntese (sintetizado)#
Síntese (sintetizado)#
Síntese (síntetizado)#
Síntese (síntetizado)#
Sucessão (antecessor)#
Síntese (síntetizado)#
Suplemento para#";Média ;S;5;;"#Critério legal:
Conjugação:
[Lei 4/2007], Bases gerais do sistema de segurança social, art.º 69º - Prescrição do direito às prestações, e art.º 80º Incumprimento das obrigações legais; 
[DL 433/82], art.º 27º - Prazo prescricional do procedimento contraordenacional.
O prazo contempla quer a prescrição do direito à prestação pelo beneficiário, quer a perda de capacidade da Administração para acionar o pagamento de contraordenação por incumprimento das obrigações legais do beneficiário, por via da prescrição contraordenacional.
#Critério de utilidade administrativa:
Prazo decorrente da necessidade de consulta deste PN para apuramento de responsabilidade em sede do PN 500.10.301 - Realização de fiscalização.";Data de cessação da vigência;E;"#Critério de densidade informacional:
Informação sintetizada complementarmente em
PN 150.20.404 - Prestação de contas;
PN 150.40.001 - Realização de operações estatísticas oficiais;
PN 150.40.500 - Recolha e tratamento de dados estatísticos de apoio à gestão;
PN 300.30.008 - Registo de documentos e informação;
PN 400.10.011 - Registo no sistema da Segurança Social. 
A aplicação de regras para a determinação da prestação a atribuir encontra-se sujeita a condições formais rigorosas de controlo acentuado, sendo essas regras preservadas em 100.10.";;;;;;;;;;;

